Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-December-2019,115.90,117.60,115.10,116.05,116.227969367206258229,826304,3269,96039636.00,86519,10.47,2.50,0.15
12-December-2019,117.15,117.15,113.90,115.10,115.160047500861668038,664409,3670,76513372.00,71410,10.75,3.25,-2.05
11-December-2019,115.15,117.85,113.80,116.05,115.601942438856428709,940982,4557,108779347.00,118565,12.60,4.05,0.90
10-December-2019,114.70,115.50,112.40,114.35,113.992803927004912310,1125336,3878,128280206.00,110902,9.86,3.10,-0.35
9-December-2019,113.00,116.65,112.25,114.40,114.278367893182822189,2075771,4337,237215722.00,115852,5.58,4.40,1.40
6-December-2019,116.60,116.60,111.90,113.10,114.327137921347640165,1665964,7498,190464896.00,180429,10.83,4.70,-3.50
5-December-2019,119.85,121.50,115.10,115.70,117.079151591362020673,2643396,6705,309486561.00,175595,6.64,6.40,-4.15
4-December-2019,116.80,119.75,115.45,119.10,118.344825065148635033,998486,4660,118165651.00,110751,11.09,4.30,2.30
3-December-2019,120.05,120.30,116.00,116.95,117.617747889109694359,889672,4825,104641217.00,147766,16.61,4.30,-3.10
2-December-2019,121.00,121.80,118.40,119.95,119.803066996140163745,1216891,9548,145787274.00,187177,15.38,3.40,-1.05
29-November-2019,115.95,123.50,115.95,120.40,120.471900935013029819,2763277,14570,332897233.00,447594,16.20,7.55,4.45
28-November-2019,108.70,115.35,107.75,114.50,111.755157901692228943,2209571,11717,246930956.00,400616,18.13,7.60,5.80
27-November-2019,103.30,108.80,103.30,107.65,107.228941472476549182,1567536,8873,168085226.00,297597,18.98,5.50,4.35
26-November-2019,105.25,105.80,101.10,102.90,103.248201686427831598,1191394,5408,123009288.00,182135,15.29,4.70,-2.35
25-November-2019,96.85,104.45,95.95,104.15,101.272513323514674845,2041691,9999,206767179.00,454082,22.24,8.50,7.30
22-November-2019,95.25,96.85,94.35,96.50,95.971956558582698400,808353,3083,77579219.00,139560,17.26,2.50,1.25
21-November-2019,99.80,99.85,95.60,95.95,97.049490687915898475,964929,3010,93645868.00,244062,25.29,4.25,-3.85
20-November-2019,100.00,100.45,98.55,99.05,99.425399117331198129,1054076,2960,104801927.00,237795,22.56,1.90,-0.95
19-November-2019,98.00,101.95,97.80,99.90,100.499116129910788462,1600914,4256,160890442.00,180468,11.27,4.15,1.90
18-November-2019,98.35,99.00,96.60,97.65,97.473676037147224222,940151,2078,91639974.00,114735,12.20,2.40,-0.70
15-November-2019,96.00,98.30,96.00,97.70,97.447835147659656146,364690,1515,35538251.00,93277,25.58,2.30,1.70
14-November-2019,96.00,96.40,93.40,95.80,95.355498119784352122,455001,1650,43386847.00,157214,34.55,3.00,-0.20
13-November-2019,99.00,100.40,95.25,95.70,98.991494123952009371,1205402,2583,119324545.00,179255,14.87,5.15,-3.30
11-November-2019,99.50,100.90,98.20,98.95,98.878121556449189289,698770,1947,69093065.00,89147,12.76,2.70,-0.55
8-November-2019,98.00,101.95,96.70,99.55,99.582556645073690514,1199001,3145,119399585.00,227285,18.96,5.25,1.55
7-November-2019,97.60,104.10,97.60,99.05,100.965426004739182219,1198097,5710,120966374.00,223156,18.63,6.50,1.45
6-November-2019,95.20,96.85,94.20,95.85,95.695329469294832332,430465,1537,41193490.00,88265,20.50,2.65,0.65
5-November-2019,96.70,98.05,95.00,95.40,96.342356055434919623,420457,2186,40507818.00,115677,27.51,3.05,-1.30
4-November-2019,97.20,99.00,96.00,96.70,97.485178782116697030,451751,2836,44039027.00,134479,29.77,3.00,-0.50
1-November-2019,95.90,97.95,95.40,96.75,96.878037055455669892,784230,2633,75974663.00,130377,16.62,2.55,0.85
31-October-2019,94.60,98.45,94.20,95.65,96.083515454960724426,893176,3871,85819490.00,135190,15.14,4.25,1.05
30-October-2019,95.00,95.70,93.00,93.60,94.551669239503006815,558398,2402,52797463.00,144533,25.88,2.70,-1.40
29-October-2019,89.50,95.55,89.30,94.85,93.473841221992687281,1056242,4814,98730997.00,409376,38.76,6.25,5.35
27-October-2019,90.00,90.45,89.15,89.50,89.645244403646756931,95866,937,8593931.00,62825,65.53,1.30,-0.50
25-October-2019,88.40,89.85,87.05,89.10,88.801986017041730391,457700,2033,40644669.00,58870,12.86,2.80,0.70
24-October-2019,88.10,90.10,87.50,88.40,88.900748788510526246,687377,2940,61108330.00,103611,15.07,2.60,0.30
23-October-2019,87.00,88.60,85.60,87.65,87.487553184188855339,582880,2699,50994745.00,80845,13.87,3.00,0.65
22-October-2019,84.20,90.80,83.95,86.65,87.744177878210578483,1759496,7101,154385530.00,382961,21.77,6.85,2.45
18-October-2019,86.70,86.70,83.80,85.35,85.053695366531876101,1963540,4169,167006333.00,1215320,61.89,2.90,-1.35
17-October-2019,83.85,85.90,80.75,85.55,83.613938324908733501,911616,3630,76223804.00,159523,17.50,5.15,1.70
16-October-2019,83.00,85.15,82.00,83.05,83.284787099208814961,1012279,2858,84307441.00,126017,12.45,3.15,0.05
15-October-2019,81.95,83.05,81.00,82.80,82.213377624285996593,425068,1826,34946276.00,116757,27.47,2.05,0.85
14-October-2019,81.05,83.35,80.50,81.65,81.920894933633239193,476594,2351,39043007.00,84100,17.65,2.85,0.60
11-October-2019,82.00,82.55,78.95,80.55,80.505157274038373770,766878,3109,61737634.00,137323,17.91,3.60,-1.45
10-October-2019,83.40,83.40,80.15,81.45,81.304771562474305917,547305,2370,44498508.00,88264,16.13,3.25,-1.95
9-October-2019,79.70,83.80,78.60,83.45,80.284177719296071523,1775294,4501,142528019.00,199250,11.22,5.20,3.75
7-October-2019,82.00,82.10,79.50,80.20,80.549127692460581763,1418823,5417,114284955.00,151920,10.71,2.60,-1.80
